target_atr,stop_atr,hold,rr,setup,n,win_rate,r_mean,r_ci_lo,r_ci_hi,edge_vs_control
3.0,0.75,10,4.0,oversold_bounce,14270,0.1212333566923616,0.1066449349010614,0.0016314611275647986,0.22732710623944138,0.07493258418064466
3.0,0.75,10,4.0,high_52w_momo,102108,0.1144964155599953,-0.0894901290380321,-0.13194535704253255,-0.045445645829874225,-0.12120247975844885
3.0,0.75,10,4.0,any_liquid,112903,0.11934138153990594,0.03171235072041674,-0.013388400899458381,0.07451545391984887,0.0
3.0,0.75,20,4.0,breakout_20d,16238,0.1747136346840744,-0.0691232908252708,-0.12925627799303063,-0.005726410683912124,-0.12326450709508781
3.0,0.75,20,4.0,pullback_uptrend,161215,0.2002233042831002,0.063745906247992,0.0015052501491283244,0.1281478710642153,0.009604689978174999
3.0,0.75,20,4.0,tight_flag,214638,0.20470746093422412,0.03189046216233581,-0.029903219510818757,0.09957728722387552,-0.022250754107481195
3.0,0.75,20,4.0,oversold_bounce,14270,0.19607568325157673,0.11125908640001096,0.0011799675602707632,0.23977024287700294,0.057117870130193954
3.0,0.75,20,4.0,high_52w_momo,102108,0.1760782700669879,-0.06781813657016611,-0.11800248717382805,-0.013442368608466848,-0.12195935283998312
3.0,0.75,20,4.0,any_liquid,112903,0.1915803831607663,0.05414121626981701,-0.0012407973356871355,0.1050923157971467,0.0
3.0,1.0,5,3.0,breakout_20d,16238,0.06127601921418894,-0.06919711549908991,-0.1064518145444632,-0.03206825136749902,-0.08419389383914444
3.0,1.0,5,3.0,pullback_uptrend,161215,0.054703346462798126,0.035867730613798,-0.002317260842175165,0.07563266019848332,0.020870952273743474
3.0,1.0,5,3.0,tight_flag,214638,0.06693595728622145,0.011887677649597304,-0.024266293427297015,0.05119277045394418,-0.003109100690457221
3.0,1.0,5,3.0,oversold_bounce,14270,0.053819201121233354,0.07920986604313736,0.010527290712739805,0.1578055587891914,0.06421308770308283
3.0,1.0,5,3.0,high_52w_momo,102108,0.05834018881968112,-0.07075737090307889,-0.09925686398560034,-0.041252977344474064,-0.08575414924313342
3.0,1.0,5,3.0,any_liquid,112903,0.050946387607060925,0.014996778340054525,-0.013729649712991022,0.04233171465722126,0.0
3.0,1.0,10,3.0,breakout_20d,16238,0.13437615469885453,-0.05957530860933685,-0.10733414435148231,-0.008705391376646283,-0.10278501963923703
3.0,1.0,10,3.0,pullback_uptrend,161215,0.14712030518252023,0.05631054774575878,0.005569695916079435,0.11012848540274078,0.013100836715858592
3.0,1.0,10,3.0,tight_flag,214638,0.1637314920936647,0.030634104240751154,-0.020258562831609917,0.08699843531391532,-0.01257560678914903
